QMTCODE,JJCODE,NAME,CLASS1,CLASS2,CLASS3,CONCEPTIONS,BENCHMARK
600259.SH,SHSE.600259,中稀有色,有色金属,小金属,稀土,"2025三季报扭亏,2025中报扭亏,海南自贸,沪股通,融资融券,稀缺资源,稀土永磁,小金属概念,新材料,央国企改革",A
600273.SH,SHSE.600273,嘉化能源,基础化工,化学制品,其他化学制品,"标准普尔,长江三角,沪股通,氢能源,融资融券,上证380,太阳能,消毒剂,新材料,新能源",A
600276.SH,SHSE.600276,恒瑞医药,医药生物,化学制药,化学制剂,"AH股,HS300_,MSCI中国,标准普尔,超级真菌,创新药,单抗概念,富时罗素,股权激励,沪股通,机构重仓,减肥药,茅指数,融资融券,上证180_,上证50_,央视50_,医疗器械概念,证金持股,中药概念",B
600282.SH,SHSE.600282,南钢股份,钢铁,普钢,板材,"C2M概念,MSCI中国,贬值受益,标准普尔,参股新三板,长江三角,创投,反内卷概念,风能,富时罗素,工程机械概念,工业互联,海洋经济,核能核电,沪股通,化债(AMC)概念,节能环保,可燃冰,人工智能,人形机器人,融资融券,上证380,水利建设,一带一路,油气设服,中证500",B
600295.SH,SHSE.600295,鄂尔多斯,钢铁,冶钢原料,冶钢辅料,"AB股,标准普尔,创投,沪股通,融资融券,上证380,西部大开发,小金属概念,中证500",B
600298.SH,SHSE.600298,安琪酵母,食品饮料,调味发酵品Ⅱ,调味发酵品Ⅲ,"MSCI中国,QFII重仓,标准普尔,参股新三板,长寿药,富时罗素,合成生物,湖北自贸,沪股通,化妆品概念,融资融券,上证380,央国企改革,养老金,中证500",B
600301.SH,SHSE.600301,华锡有色,有色金属,小金属,其他小金属,"QFII重仓,沪股通,西部大开发,小金属概念,央国企改革",A
600309.SH,SHSE.600309,万华化学,基础化工,化学制品,聚氨酯,"HS300_,MSCI中国,标准普尔,创投,富时罗素,沪股通,化工原料,环氧丙烷,机构重仓,茅指数,煤化工,融资融券,上证180_,上证50_,新材料,央国企改革,证金持股,锂电池",A
600323.SH,SHSE.600323,瀚蓝环境,环保,环境治理,固废治理,"PPP模式,标准普尔,创投,富时罗素,沪股通,节能环保,垃圾分类,融资融券,上证380,天然气,央国企改革,养老金",C
600325.SH,SHSE.600325,华发股份,房地产,房地产开发,住宅开发,"2025中报预减,标准普尔,冰雪经济,富时罗素,沪股通,破净股,融资融券,上证380,央国企改革,粤港自贸,证金持股,转债标的,租售同权",B
600352.SH,SHSE.600352,浙江龙盛,基础化工,化学制品,纺织化学制品,"IPO受益,MSCI中国,标准普尔,参股新三板,参股银行,富时罗素,沪股通,化工原料,融资融券,上证380,中证500",A
600353.SH,SHSE.600353,旭光电子,电子,其他电子Ⅱ,其他电子Ⅲ,"5G概念,DeepSeek概念,参股新三板,成渝特区,第三代半导体,光刻机(胶),国产芯片,沪股通,华为概念,军工,军民融合,可控核聚变,融资融券,铁路基建,无人机,西部大开发,新材料",A
600356.SH,SHSE.600356,恒丰纸业,轻工制造,造纸,特种纸,"2025中报预增,并购重组概念,东北振兴,工业大麻,微盘股,央国企改革",B
600362.SH,SHSE.600362,江西铜业,有色金属,工业金属,铜,"AH股,HS300_,MSCI中国,标准普尔,参股券商,参股银行,富时罗素,沪股通,黄金概念,机构重仓,融资融券,上证180_,稀缺资源,小金属概念,新材料,央国企改革,一带一路,证金持股,锂电池",A
600363.SH,SHSE.600363,联创光电,电子,消费电子,消费电子零部件及组装,"LED,标准普尔,超导概念,富时罗素,沪股通,华为概念,军工,可控核聚变,全息技术,融资融券,商业航天,上证380,虚拟现实,中证500",A
600372.SH,SHSE.600372,中航机载,国防军工,航空装备Ⅱ,航空装备Ⅲ,"HS300_,MSCI中国,标准普尔,大飞机,低空经济,富时罗素,航母概念,沪股通,军工,军民融合,融资融券,商业航天,上证180_,央国企改革",A
600373.SH,SHSE.600373,中文传媒,传媒,出版,大众出版,"2025中报预减,标准普尔,参股新三板,富时罗素,广电,沪股通,机构重仓,破净股,融资融券,上证380,数字阅读,网络游戏,虚拟现实,央国企改革,在线教育,增强现实",A
600378.SH,SHSE.600378,昊华科技,基础化工,化学制品,氟化工,"PVDF概念,成渝特区,大飞机,氟化工,富时罗素,工业气体,股权激励,航母概念,沪股通,军工,氢能源,燃料电池,融资融券,上证380,碳交易,西部大开发,央国企改革,养老金,液冷概念,中芯概念,中证500",A
600379.SH,SHSE.600379,宝光股份,电力设备,电网设备,输变电设备,"储能,机构重仓,氢能源,融资融券,铁路基建,西部大开发,央国企改革,一带一路,智能电网",A
600389.SH,SHSE.600389,江山股份,基础化工,农化制品,农药,"2025中报预增,草甘膦,长江三角,沪股通,化工原料,磷化工,融资融券",A
600392.SH,SHSE.600392,盛和资源,有色金属,小金属,稀土,"2025三季报预增,2025中报扭亏,MSCI中国,标准普尔,参股保险,富时罗素,沪股通,苹果概念,融资融券,上证380,西部大开发,稀土永磁,小金属概念,央国企改革,中证500",A
600398.SH,SHSE.600398,海澜之家,纺织服饰,服装家纺,非运动服装,"MSCI中国,阿里概念,标准普尔,参股银行,长江三角,电商概念,抖音概念(字节概念),抖音小店,沪股通,融资融券,上证380,网红经济,小红书概念,新零售,央视50_,婴童概念,中证500",C
600399.SH,SHSE.600399,抚顺特钢,钢铁,特钢Ⅱ,特钢Ⅲ,"东北振兴,反内卷概念,沪股通,军工,融资融券,商业航天,上证380",B
600406.SH,SHSE.600406,国电南瑞,电力设备,电网设备,电网自动化设备,"HS300_,IGBT概念,MSCI中国,PPP模式,半导体概念,标准普尔,车联网(车路云),充电桩,抽水蓄能,储能,富时罗素,国产芯片,核能核电,沪股通,换电概念,机构重仓,节能环保,量子科技,融资融券,上证180_,上证50_,数据中心,太阳能,特高压,新能源,虚拟电厂,央国企改革,一带一路,证金持股,智能电网,中特估",A
600415.SH,SHSE.600415,小商品城,商贸零售,一般零售,商业物业经营,"ChatGPT概念,HS300_,MSCI中国,阿里概念,标准普尔,创投,地摊经济,电商概念,富时罗素,互联金融,沪股通,跨境电商,跨境支付,人工智能,融资融券,上证180_,数据中心,退税商店,网红经济,央国企改革,一带一路,中俄贸易概念",B
600416.SH,SHSE.600416,湘电股份,电力设备,电机Ⅱ,电机Ⅲ,"储能,风能,核能核电,沪股通,机构重仓,军工,军民融合,融资融券,商业航天,稀土永磁,新能源,央国企改革",A
600418.SH,SHSE.600418,江淮汽车,汽车,商用车,商用载货车,"MSCI中国,百度概念,标准普尔,独角兽,沪股通,华为概念,华为汽车,机构重仓,冷链物流,融资融券,上证180_,无人驾驶,新能源车,央国企改革",B
600422.SH,SHSE.600422,昆药集团,医药生物,中药Ⅱ,中药Ⅲ,"QFII重仓,标准普尔,独角兽,富时罗素,沪股通,青蒿素,融资融券,上证380,西部大开发,央国企改革,证金持股,中药概念",B
600426.SH,SHSE.600426,华鲁恒升,基础化工,农化制品,氮肥,"HS300_,MSCI中国,标准普尔,富时罗素,沪股通,化工原料,煤化工,融资融券,上证180_,社保重仓,央国企改革,养老金,锂电池",A
600435.SH,SHSE.600435,北方导航,国防军工,地面兵装Ⅱ,地面兵装Ⅲ,"2025中报扭亏,北斗导航,航母概念,沪股通,机构重仓,军工,融资融券,上证380,无人机,央国企改革,证金持股,中证500",A
600438.SH,SHSE.600438,通威股份,电力设备,光伏设备,硅料硅片,"BC电池,HIT电池,HS300_,MSCI中国,TOPCon电池,半导体概念,标准普尔,成渝特区,反内卷概念,富时罗素,钙钛矿电池,沪股通,融资融券,上证180_,水产养殖,太阳能,西部大开发,新能源,转债标的",A
600456.SH,SHSE.600456,宝钛股份,有色金属,小金属,其他小金属,"3D打印,大飞机,航母概念,沪股通,军工,苹果概念,融资融券,商业航天,西部大开发,稀缺资源,小金属概念,新材料,央国企改革",A
600460.SH,SHSE.600460,士兰微,电子,半导体,分立器件,"2025中报扭亏,HS300_,IGBT概念,LED,MSCI中国,OLED,半导体概念,标准普尔,长江三角,氮化镓,第三代半导体,富时罗素,国产芯片,沪股通,融资融券,上证380,碳化硅,智能穿戴",A
600480.SH,SHSE.600480,凌云股份,汽车,汽车零部件,其他汽车零部件,"储能,传感器,地下管网,沪股通,华为汽车,机构重仓,京津冀,汽车热管理,燃料电池,融资融券,特斯拉,铁路基建,小米汽车,新能源车,雄安新区,央国企改革,液冷概念",B
600486.SH,SHSE.600486,扬农化工,基础化工,农化制品,农药,"MSCI中国,标准普尔,草甘膦,长江三角,富时罗素,沪股通,化工原料,融资融券,上证380,社保重仓,央国企改革,养老金,中证500",A
600487.SH,SHSE.600487,亨通光电,通信,通信设备,通信线缆及配套,"5G概念,6G概念,CPO概念,F5G概念,MSCI中国,标准普尔,长江三角,大数据,风能,富时罗素,光通信模块,海工装备,毫米波概念,沪股通,华为概念,机器人概念,量子科技,融资融券,上证380,特高压,网络安全,物联网,小米汽车,养老金,液冷概念,一带一路,中证500",A
600489.SH,SHSE.600489,中金黄金,有色金属,贵金属,黄金,"2025中报预增,HS300_,MSCI中国,贬值受益,标准普尔,富时罗素,沪股通,化债(AMC)概念,黄金概念,融资融券,上证180_,稀缺资源,央国企改革,中特估,中字头",A
600498.SH,SHSE.600498,烽火通信,通信,通信设备,通信网络设备及器件,"5G概念,CPO概念,F5G概念,IPv6,MSCI中国,标准普尔,大数据,富时罗素,光通信模块,国产芯片,湖北自贸,沪股通,融资融券,上证380,数据要素,算力概念,网络安全,卫星互联网,央国企改革,液冷概念,一带一路,云计算,智慧城市,中特估,中证500,昨日涨停,昨日涨停_含一字",A
600507.SH,SHSE.600507,方大特钢,钢铁,特钢Ⅱ,特钢Ⅲ,"2025中报预增,标准普尔,反内卷概念,富时罗素,沪股通,华为概念,化债(AMC)概念,融资融券,上证380",B
600515.SH,SHSE.600515,海南机场,房地产,房地产开发,住宅开发,"HS300_,MSCI中国,海南自贸,沪股通,机构重仓,跨境电商,免税概念,融资融券,上证380,土地流转,央国企改革,一带一路",B
600519.SH,SHSE.600519,贵州茅台,食品饮料,白酒Ⅱ,白酒Ⅲ,"HS300_,MSCI中国,白酒,百元股,标准普尔,超级品牌,电商概念,富时罗素,沪股通,机构重仓,茅指数,融资融券,上证180_,上证50_,西部大开发,央国企改革,央视50_,证金持股",B
600521.SH,SHSE.600521,华海药业,医药生物,化学制药,化学制剂,"AI制药（医疗）,MSCI中国,标准普尔,长江三角,超级真菌,创新药,单抗概念,富时罗素,沪股通,流感,免疫治疗,融资融券,上证380,中证500,转债标的",B
600522.SH,SHSE.600522,中天科技,通信,通信设备,通信线缆及配套,"3D打印,5G概念,6G概念,CPO概念,HS300_,MSCI中国,OLED,半导体概念,标准普尔,参股券商,参股银行,长江三角,超导概念,超级电容,充电桩,储能,创投,大数据,东数西算,风能,富时罗素,工业互联,固态电池,光通信模块,海工装备,海洋经济,沪股通,华为概念,可控核聚变,量子科技,融资融券,上证180_,石墨烯,数据中心,太阳能,碳纤维,特高压,铁路基建,铜缆高速连接,物联网,新材料,新能源,新能源车,央视50_,液冷概念,一带一路,云计算,证金持股,智能电网,锂电池",A
600529.SH,SHSE.600529,山东药玻,医药生物,医疗器械,医疗耗材,"富时罗素,沪股通,机构重仓,融资融券,上证380,央国企改革,医疗器械概念",B
600536.SH,SHSE.600536,中国软件,计算机,IT服务Ⅱ,IT服务Ⅲ,"DeepSeek概念,MSCI中国,标准普尔,财税数字化,电子身份证,富时罗素,国产软件,沪股通,华为欧拉,融资融券,上证380,数据安全,网络安全,乡村振兴,信创,央国企改革,云计算,中证500,中字头",A
600546.SH,SHSE.600546,山煤国际,煤炭,煤炭开采,动力煤,"HIT电池,参股银行,超超临界发电,反内卷概念,沪股通,内贸流通,融资融券,上证380,太阳能,央国企改革,中证500",B
600547.SH,SHSE.600547,山东黄金,有色金属,贵金属,黄金,"2025三季报预增,2025中报预增,AH股,HS300_,MSCI中国,贬值受益,标准普尔,富时罗素,沪股通,黄金概念,机构重仓,融资融券,上证180_,稀缺资源,央国企改革,证金持股",A
600549.SH,SHSE.600549,厦门钨业,有色金属,小金属,钨,"MSCI中国,标准普尔,动力电池回收,独角兽,富时罗素,固态电池,沪股通,机器人概念,可控核聚变,融资融券,上证380,稀缺资源,稀土永磁,小金属概念,新材料,央国企改革,中证500,锂电池",A
600559.SH,SHSE.600559,老白干酒,食品饮料,白酒Ⅱ,白酒Ⅲ,"白酒,标准普尔,富时罗素,沪股通,融资融券,上证380,央国企改革",B
600562.SH,SHSE.600562,国睿科技,国防军工,军工电子Ⅱ,军工电子Ⅲ,"5G概念,PPP模式,长江三角,大飞机,低空经济,富时罗素,沪股通,华为概念,军工,军民融合,可控核聚变,融资融券,商业航天,上证380,无人驾驶,央国企改革,中证500",A
600563.SH,SHSE.600563,法拉电子,电子,元件,被动元件,"MSCI中国,百元股,被动元件,标准普尔,超级电容,富时罗素,沪股通,融资融券,上证380,特高压,新能源车,央视50_,中证500",A
600570.SH,SHSE.600570,恒生电子,计算机,软件开发,垂直应用软件,"2025中报预增,DeepSeek概念,HS300_,MSCI中国,阿里概念,标准普尔,参股保险,长江三角,电商概念,独角兽,多模态AI,富时罗素,国产软件,互联金融,互联医疗,沪股通,机构重仓,蚂蚁概念,区块链,人工智能,融资融券,上证180_,生物识别,数字货币,碳交易,信创,云计算,证金持股",A
600576.SH,SHSE.600576,祥源文旅,社会服务,旅游及景区,自然景区,"2025中报预增,冰雪经济,长江三角,低空经济,飞行汽车(eVTOL),谷子经济,沪股通,旅游概念,网红经济,影视概念,元宇宙概念",C
600584.SH,SHSE.600584,长电科技,电子,半导体,集成电路封测,"CPO概念,Chiplet概念,HS300_,IGBT概念,MSCI中国,半导体概念,标准普尔,长江三角,存储芯片,富时罗素,国产芯片,沪股通,华为海思,苹果概念,汽车芯片,融资融券,上证180_,生物识别,物联网,新材料,智能穿戴,中芯概念",A
600585.SH,SHSE.600585,海螺水泥,建筑材料,水泥,水泥制造,"AH股,HS300_,MSCI中国,标准普尔,储能,反内卷概念,富时罗素,沪股通,机构重仓,破净股,融资融券,上证180_,铁路基建,雅下水电概念,央国企改革,央视50_,一带一路,证金持股,装配建筑",B
600587.SH,SHSE.600587,新华医疗,医药生物,医疗器械,医疗设备,"标准普尔,富时罗素,合成生物,互联医疗,沪股通,机构重仓,机器人概念,人脑工程,融资融券,消毒剂,央国企改革,医废处理,医疗器械概念,中药概念",B
600588.SH,SHSE.600588,用友网络,计算机,软件开发,横向通用软件,"AI应用,AI智能体,DeepSeek概念,ERP概念,HS300_,MSCI中国,阿里概念,标准普尔,财税数字化,参股保险,参股银行,大数据,富时罗素,工业互联,股权激励,国产软件,互联金融,互联医疗,沪股通,华为概念,机构重仓,区块链,融资融券,数据中心,数字经济,新型工业化,信创,移动支付,远程办公,云计算,证金持股",A
600595.SH,SHSE.600595,中孚实业,有色金属,工业金属,铝,"2025中报预增,沪股通,融资融券",A
600600.SH,SHSE.600600,青岛啤酒,食品饮料,非白酒,啤酒,"AH股,HS300_,MSCI中国,标准普尔,超级品牌,富时罗素,股权激励,沪股通,机构重仓,啤酒概念,融资融券,上证180_,新零售,央国企改革,央视50_,证金持股",B
600641.SH,SHSE.600641,先导基电,房地产,房地产开发,住宅开发,"2025中报扭亏,OLED,半导体概念,标准普尔,参股银行,长江三角,创投,富时罗素,国产芯片,沪股通,机构重仓,融资融券,上证380,太阳能,稀缺资源,小金属概念",B
600645.SH,SHSE.600645,中源协和,医药生物,医疗器械,体外诊断,"CAR-T细胞疗法,长江三角,单抗概念,独角兽,辅助生殖,沪股通,基因测序,精准医疗,免疫治疗,人工智能,融资融券,体外诊断,重组蛋白",B
600660.SH,SHSE.600660,福耀玻璃,汽车,汽车零部件,车身附件及饰件,"AH股,HS300_,MSCI中国,贬值受益,标准普尔,富时罗素,沪股通,机构重仓,融资融券,上证180_,太阳能,特斯拉,小米汽车,央视50_,证金持股",B
600685.SH,SHSE.600685,中船防务,国防军工,航海装备Ⅱ,航海装备Ⅲ,"2025中报预增,AH股,MSCI中国,标准普尔,参股银行,富时罗素,海工装备,沪股通,机构重仓,军工,融资融券,央国企改革,中特估,中证500,中字头",A
600690.SH,SHSE.600690,海尔智家,家用电器,白色家电,冰洗,"AH股,HS300_,MSCI中国,阿里概念,标准普尔,超级品牌,电商概念,富时罗素,工业互联,沪股通,机构重仓,节能环保,净水概念,空气能热泵,茅指数,融资融券,上证180_,上证50_,物联网,央视50_,证金持股,智能家居",B
600702.SH,SHSE.600702,舍得酒业,食品饮料,白酒Ⅱ,白酒Ⅲ,"C2M概念,白酒,标准普尔,成渝特区,富时罗素,沪股通,融资融券,西部大开发,新零售",B
600729.SH,SHSE.600729,重庆百货,商贸零售,一般零售,多业态零售,"标准普尔,成渝特区,电商概念,富时罗素,互联金融,沪股通,内贸流通,融资融券,上证380,西部大开发,小米汽车,证金持股",B
600732.SH,SHSE.600732,爱旭股份,电力设备,光伏设备,光伏电池组件,"BC电池,长江三角,股权激励,沪股通,融资融券,太阳能,养老金,昨日涨停,昨日涨停_含一字",A
600737.SH,SHSE.600737,中粮糖业,农林牧渔,农产品加工,其他农产品加工,"2025中报预减,MSCI中国,调味品概念,富时罗素,沪股通,农业种植,融资融券,上证380,西部大开发,乡村振兴,央国企改革,中证500,中字头",C
600750.SH,SHSE.600750,江中药业,医药生物,中药Ⅱ,中药Ⅲ,"白酒,标准普尔,参股银行,沪股通,机构重仓,融资融券,上证380,央国企改革,证金持股,中药概念",B
600754.SH,SHSE.600754,锦江酒店,社会服务,酒店餐饮,酒店,"2025中报预减,AB股,MSCI中国,标准普尔,参股券商,长江三角,富时罗素,共享经济,沪股通,沪企改革,内贸流通,融资融券,央国企改革,中证500",C
600755.SH,SHSE.600755,厦门国贸,交通运输,物流,原材料供应链服务,"DeepSeek概念,标准普尔,参股期货,参股券商,参股银行,富时罗素,股权激励,沪股通,机构重仓,京东金融,内贸流通,破净股,融资融券,上证380,统一大市场,央国企改革,一带一路",C
600760.SH,SHSE.600760,中航沈飞,国防军工,航空装备Ⅱ,航空装备Ⅲ,"HS300_,MSCI中国,标准普尔,大飞机,富时罗素,国家安防,沪股通,军工,军民融合,融资融券,上证180_,上证50_,无人机,央国企改革",A
600761.SH,SHSE.600761,安徽合力,机械设备,工程机械,工程机械整机,"工程机械概念,沪股通,融资融券,上证380,新能源车,央国企改革,养老金",A
600763.SH,SHSE.600763,通策医疗,医药生物,医疗服务,医院,"标准普尔,辅助生殖,富时罗素,沪股通,茅指数,宁组合,区块链,融资融券,上证380,婴童概念,中证500",B
600764.SH,SHSE.600764,中国海防,国防军工,航海装备Ⅱ,航海装备Ⅲ,"北斗导航,车联网(车路云),风能,国产芯片,航母概念,毫米波概念,沪股通,军工,军民融合,量子科技,融资融券,天然气,新能源车,央国企改革,一带一路,中证500,中字头",A
600765.SH,SHSE.600765,中航重机,国防军工,航空装备Ⅱ,航空装备Ⅲ,"3D打印,MSCI中国,标准普尔,大飞机,低空经济,风能,航母概念,核能核电,沪股通,军工,军民融合,融资融券,商业航天,上证380,无人机,西部大开发,新能源,央国企改革,中证500",A
600782.SH,SHSE.600782,新钢股份,钢铁,普钢,板材,"2025中报扭亏,标准普尔,反内卷概念,富时罗素,沪股通,破净股,融资融券,上证380,无人机,央国企改革",B
600801.SH,SHSE.600801,华新建材,建筑材料,水泥,水泥制造,"2025中报预增,AH股,标准普尔,参股保险,参股银行,反内卷概念,富时罗素,沪股通,融资融券,上证380,雅下水电概念,一带一路,中证500",B
600809.SH,SHSE.600809,山西汾酒,食品饮料,白酒Ⅱ,白酒Ⅲ,"HS300_,MSCI中国,白酒,百元股,标准普尔,富时罗素,沪股通,基金重仓,融资融券,上证180_,上证50_,央国企改革",B
600820.SH,SHSE.600820,隧道股份,建筑装饰,基础建设,基建市政工程,"EDA概念,PPP模式,标准普尔,长江三角,低空经济,富时罗素,国产芯片,沪股通,机构重仓,破净股,氢能源,融资融券,上证380,铁路基建,雄安新区,央国企改革,养老金,一带一路,中证500",B
600826.SH,SHSE.600826,兰生股份,社会服务,专业服务,会展服务,"标准普尔,参股券商,长江三角,沪股通,沪企改革,进口博览,融资融券,上海自贸,首发经济,体育产业,央国企改革,证金持股",C
600861.SH,SHSE.600861,北京人力,社会服务,专业服务,人力资源服务,"2025中报预增,沪股通,内贸流通,央国企改革",C
600862.SH,SHSE.600862,中航高科,国防军工,航空装备Ⅱ,航空装备Ⅲ,"MSCI中国,参股新三板,长江三角,创投,大飞机,低空经济,独角兽,工业母机,沪股通,军工,融资融券,商业航天,上证380,通用航空,新材料,央国企改革,中证500,中字头",A
600872.SH,SHSE.600872,中炬高新,食品饮料,调味发酵品Ⅱ,调味发酵品Ⅲ,"QFII重仓,标准普尔,参股银行,调味品概念,富时罗素,沪股通,融资融券",B
600873.SH,SHSE.600873,梅花生物,基础化工,化学制品,食品及饲料添加剂,"MSCI中国,病毒防治,参股银行,调味品概念,合成生物,沪股通,融资融券,上证380,生物疫苗,维生素,西部大开发,中证500",A
600879.SH,SHSE.600879,航天电子,国防军工,航天装备Ⅱ,航天装备Ⅲ,"MSCI中国,北斗导航,标准普尔,传感器,低空经济,富时罗素,国产芯片,沪股通,军工,军民融合,空间站概念,量子科技,融资融券,商业航天,上证380,特高压,卫星互联网,无人机,央国企改革,中证500,昨日涨停,昨日涨停_含一字",A
600885.SH,SHSE.600885,宏发股份,电力设备,电网设备,电网自动化设备,"MSCI中国,标准普尔,富时罗素,沪股通,融资融券,上证380,数据中心,太阳能,特斯拉,新材料,新能源,新能源车,养老金,一带一路,中证500",A
600887.SH,SHSE.600887,伊利股份,食品饮料,饮料乳品,乳品,"HS300_,MSCI中国,标准普尔,超级品牌,富时罗素,沪股通,机构重仓,茅指数,融资融券,乳业,上证180_,上证50_,西部大开发,新零售,央视50_,婴童概念,证金持股",B
600900.SH,SHSE.600900,长江电力,公用事业,电力,水力发电,"GDR,HS300_,MSCI中国,标准普尔,参股银行,储能,创投,风能,富时罗素,核能核电,沪股通,机构重仓,绿色电力,茅指数,融资融券,上证180_,上证50_,水利建设,央国企改革,证金持股",C
600901.SH,SHSE.600901,江苏金租,非银金融,多元金融,租赁,"MSCI中国,标准普尔,沪股通,机构重仓,融资融券,上证380,央国企改革,中证500",B
600925.SH,SHSE.600925,苏能股份,煤炭,煤炭开采,动力煤,"2025中报预减,超超临界发电,储能,反内卷概念,风能,沪股通,上证380,太阳能,央国企改革",B
600938.SH,SHSE.600938,中国海油,石油石化,油气开采Ⅱ,油气开采Ⅲ,"AH股,HS300_,MSCI中国,风能,沪股通,机构重仓,绿色电力,融资融券,上证180_,天然气,新能源,央国企改革,油气设服,中特估,中字头",B
600941.SH,SHSE.600941,中国移动,通信,通信服务,电信运营商,"5G概念,6G概念,AH股,HS300_,MSCI中国,超级品牌,电子竞技,互联医疗,沪股通,融资融券,上证180_,数据中心,算力概念,网络安全,物联网,虚拟数字人,央国企改革,移动支付,元宇宙概念,云计算,中特估,中字头",A
600958.SH,SHSE.600958,东方证券,非银金融,证券Ⅱ,证券Ⅲ,"2025中报预增,AH股,HS300_,IPO受益,MSCI中国,标准普尔,富时罗素,互联金融,沪股通,机构重仓,科创板做市商,券商概念,融资融券,上证180_,证金持股",B
600961.SH,SHSE.600961,株冶集团,有色金属,工业金属,铅锌,"2025中报预增,沪股通,黄金概念,融资融券,小金属概念,央国企改革",A
600967.SH,SHSE.600967,内蒙一机,国防军工,地面兵装Ⅱ,地面兵装Ⅲ,"标准普尔,储能,沪股通,机构重仓,机器人概念,军工,军民融合,人工智能,人形机器人,融资融券,铁路基建,物联网,西部大开发,央国企改革,中证500",A
600975.SH,SHSE.600975,新五丰,农林牧渔,养殖业,生猪养殖,"2025中报扭亏,标准普尔,反内卷概念,沪股通,机构重仓,融资融券,央国企改革,猪肉概念",C
600985.SH,SHSE.600985,淮北矿业,煤炭,煤炭开采,焦煤,"2025中报预减,MSCI中国,标准普尔,反内卷概念,富时罗素,沪股通,煤化工,民爆概念,破净股,融资融券,上证380,央国企改革,中证500",B
600993.SH,SHSE.600993,马应龙,医药生物,中药Ⅱ,中药Ⅲ,"QFII重仓,标准普尔,参股新三板,富时罗素,沪股通,融资融券,上证380,消毒剂,养老金,婴童概念,中药概念",B
600997.SH,SHSE.600997,开滦股份,煤炭,煤炭开采,焦煤,"反内卷概念,沪股通,机构重仓,煤化工,破净股,氢能源,融资融券,稀缺资源,雄安新区,央国企改革,养老金",B
600999.SH,SHSE.600999,招商证券,非银金融,证券Ⅱ,证券Ⅲ,"AH股,HS300_,MSCI中国,标准普尔,富时罗素,互联金融,沪股通,机构重仓,科创板做市商,蚂蚁概念,券商概念,融资融券,上证180_,深圳特区,央国企改革,证金持股",B
601000.SH,SHSE.601000,唐山港,交通运输,航运港口,港口,"标准普尔,富时罗素,沪股通,京津冀,融资融券,上证380,雄安新区,央国企改革,证金持股,中证500",C
601011.SH,SHSE.601011,宝泰隆,煤炭,焦炭Ⅱ,焦炭Ⅲ,"2025中报扭亏,反内卷概念,沪股通,煤化工,氢能源,融资融券,石墨烯,碳基材料,锂电池",B
601012.SH,SHSE.601012,隆基绿能,电力设备,光伏设备,光伏电池组件,"BC电池,HIT电池,HS300_,MSCI中国,百度概念,标准普尔,反内卷概念,富时罗素,钙钛矿电池,沪股通,茅指数,宁组合,氢能源,融资融券,上证180_,上证50_,太阳能,特斯拉,西部大开发,证金持股,转债标的,昨日涨停,昨日涨停_含一字",A
601020.SH,SHSE.601020,华钰矿业,有色金属,工业金属,铅锌,"2025中报预增,标准普尔,沪股通,黄金概念,融资融券,西部大开发,稀缺资源,小金属概念,一带一路",A
601021.SH,SHSE.601021,春秋航空,交通运输,航空机场,航空运输,"HS300_,MSCI中国,标准普尔,富时罗素,沪股通,机构重仓,跨境电商,免税概念,融资融券,上证180_,通用航空,证金持股",C
601033.SH,SHSE.601033,永兴股份,环保,环境治理,固废治理,"PPP模式,沪股通,节能环保,垃圾分类,绿色电力,融资融券,上证380,生物质能发电,央国企改革",C
601058.SH,SHSE.601058,赛轮轮胎,汽车,汽车零部件,轮胎轮毂,"HS300_,MSCI中国,标准普尔,富时罗素,沪股通,融资融券,上证380",B
601059.SH,SHSE.601059,信达证券,非银金融,证券Ⅱ,证券Ⅲ,"2025中报预增,HS300_,沪股通,化债(AMC)概念,券商概念,融资融券,上证180_,央国企改革",B
601083.SH,SHSE.601083,锦江航运,交通运输,航运港口,航运,"2025三季报预增,2025中报预增,沪股通,沪企改革,融资融券,央国企改革,养老金",C
601099.SH,SHSE.601099,太平洋,非银金融,证券Ⅱ,证券Ⅲ,"2025中报预增,MSCI中国,标准普尔,富时罗素,沪股通,机构重仓,券商概念,融资融券,上证380,西部大开发,中证500",B
601100.SH,SHSE.601100,恒立液压,机械设备,工程机械,工程机械器件,"HS300_,MSCI中国,QFII重仓,百元股,标准普尔,富时罗素,工程机械概念,沪股通,茅指数,融资融券,上证180_",A
601108.SH,SHSE.601108,财通证券,非银金融,证券Ⅱ,证券Ⅲ,"DeepSeek概念,MSCI中国,阿里概念,标准普尔,参股期货,参股新三板,富时罗素,互联金融,沪股通,机构重仓,科创板做市商,蚂蚁概念,区块链,券商概念,融资融券,上证380,央国企改革,中证500,转债标的",B
601111.SH,SHSE.601111,中国国航,交通运输,航空机场,航空运输,"AH股,HS300_,MSCI中国,标准普尔,富时罗素,沪股通,机构重仓,融资融券,上证180_,通用航空,央国企改革,证金持股,中字头",C
601118.SH,SHSE.601118,海南橡胶,农林牧渔,种植业,其他种植业,"电商概念,海南自贸,沪股通,降解塑料,农业种植,融资融券,土地流转,乡村振兴,央国企改革,中证500,昨日涨停,昨日涨停_含一字",C
601126.SH,SHSE.601126,四方股份,电力设备,电网设备,电网自动化设备,"边缘计算,储能,海工装备,核能核电,沪股通,军民融合,人工智能,融资融券,上证380,特高压,铁路基建,智能电网",A
